"Longitude","Latitude"
-89.702948,43.322444
-73.35688,44.87491
-68.802248,44.900685
-73.452912,44.699487
-88.682587,42.719955
-64.508163,46.231614
-89.492075,42.698219
-87.857205,41.832154
-77.896752,40.793534
-83.178315,41.101291
-89.012604,41.294708
-90.213936,44.666756
-85.381171,42.406577
-72.843025,44.980453
-72.335669,44.362024
-89.950128,42.322478
-87.996176,41.2012
-87.545148,44.30623
-72.446187,43.259599
-81.186844,43.871495
-76.96,44.24
-92.936508,43.681955
-73.356094,45.295967
-64.144823,46.180662
-75.759694,39.592917
-72.945786,44.40791
-98.4166,29.7873
-81.403,43.194
-80.885,43.614
-75.773,44.621
-64.618658,46.389265
-88.129792,42.618672
-87.933181,42.483597
-85.5803,41.6728
-75.6624,41.409
-98.158,38.8259
